Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
34057,855928,060.0 053.0,20-1601RL-MX-027-1123-06000530-0000A-7,0,13.342,32.7369,6.189,24.57298,103.72,270.25,,7,2,,3,,,,,,1.366,,0.449,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,0,13.34,13.34,32.737,24.573,335.4,0,6.19,103.7,,,,,,1.37,0.45,0,,,,,,,,
34057,855929,060.0 053.0,20-1601RL-MX-027-1123-06000530-0002A-3,2,13.342,32.7369,6.189,24.57308,103.72,270.25,7,3,2,,3,,,,,,1.366,,0.449,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,2,13.34,13.34,32.737,24.573,335.5,0.007,6.19,103.7,,,,,,1.37,0.45,2,7,,,,,,,
34057,855930,060.0 053.0,20-1601RL-MX-027-1123-06000530-0006A-3,6,13.358,32.8685,6.179,24.67189,103.67,269.82,6,3,2,,3,6,,,6,,1.128,,0.476,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,6,13.36,13.36,32.869,24.672,326.2,0.02,6.18,103.7,,,,,,1.13,0.48,6,6,,,,,,,
34057,855931,060.0 053.0,20-1601RL-MX-027-1123-06000530-0010A-7,10,13.362,33.0125,6.057,24.78269,101.72,263.96,,7,2,,3,6,,6,6,6,0.998,,0.277,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,10,13.36,13.36,33.013,24.783,315.8,0.033,6.06,101.7,,,,,,1,0.28,10,,,,,,,,
34057,855932,060.0 053.0,20-1601RL-MX-027-1123-06000530-0011A-3,11,13.313,33.0972,6.048,24.85808,101.52,264.02,5,3,2,,3,6,,,6,,0.966,,0.227,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,11,13.31,13.31,33.097,24.858,308.6,0.036,6.05,101.5,,,,,,0.97,0.23,11,5,,,,,,,
34057,855933,060.0 053.0,20-1601RL-MX-027-1123-06000530-0020A-3,20,13.39,33.2259,5.992,24.94269,100.82,261.57,4,3,2,,3,6,,,6,,1.017,,0.413,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,20,13.39,13.39,33.226,24.943,300.8,0.064,5.99,100.8,,,,,,1.02,0.41,20,4,,,,,,,
34057,855934,060.0 053.0,20-1601RL-MX-027-1123-06000530-0030A-7,30,13.387,33.265,6.006,24.97409,101.07,261.69,,7,2,,3,6,,6,6,6,0.874,,0.434,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,30,13.39,13.38,33.265,24.974,298.1,0.094,6.01,101.1,,,,,,0.87,0.43,30,,,,,,,,
34057,855935,060.0 053.0,20-1601RL-MX-027-1123-06000530-0050A-3,50,13.294,33.2879,5.738,25.01158,96.38,250.45,3,3,2,,3,6,,,6,,0.587,,0.477,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,50,13.29,13.29,33.288,25.012,295.2,0.154,5.74,96.4,,,,,,0.59,0.48,50,3,,,,,,,
34057,855936,060.0 053.0,20-1601RL-MX-027-1123-06000530-0071A-3,71,12.669,33.3763,4.993,25.2044,82.82,217.92,2,3,2,,3,6,,,6,,0.15,,0.238,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,71,12.67,12.66,33.376,25.204,277.4,0.214,4.99,82.8,,,,,,0.15,0.24,72,2,,,,,,,
34057,855937,060.0 053.0,20-1601RL-MX-027-1123-06000530-0075A-7,75,12.541,33.3838,4.948,25.2352,81.86,215.54,,7,2,,3,6,,6,6,6,0.142,,0.248,,,9,,9,,9,,9,,9,,,9,,,9,,,9,,,9,,,75,12.54,12.53,33.384,25.235,274.5,0.225,4.95,81.9,,,,,,0.14,0.25,76,,,,,,,,
